,0
CST3,8.718350026838714
HLA-DRA,8.096821212875744
TYROBP,7.9730439161428235
MS4A1,6.6084546126263435
CD79A,6.466492353329331
FGL2,6.287145837420638
NKG7,5.997285698384265
MNDA,5.864056786827337
CYBB,5.797657363015055
IFI30,5.779139316175144
FCN1,5.701225152559071
LST1,5.6310472133769744
AIF1,5.351633449321322
SERPINA1,5.20453674292335
S100A9,4.967895065630969
LYZ,4.729509839274853
TMEM176B,4.690611196274821
FCER1G,4.689236200729226
VCAN,4.649631234055293
CD74,4.5667730172661996
GZMA,4.341011698444227
RALGPS2,4.263571062026575
IGSF6,4.126042348530382
S100A8,4.100891108212165
CD36,4.07054207660355
TYMP,4.0572993960295225
CTSS,4.02795173738263
CCL5,3.856499002652313
HLA-DRB1,3.8103729232995915
DUSP6,3.802359886335388
BANK1,3.784676506286428
GNLY,3.755344277037218
CST7,3.750546647135428
NCF2,3.7280794073214043
CFD,3.6045652801480648
KLRF1,3.5389233726227345
MPEG1,3.3735363659266553
TNFRSF13C,3.3666382343532515
KCTD12,3.304176762876052
CSTA,3.1744028897820513
CD68,3.1662400569471134
KLRK1,3.1425723037358937
HLA-DPA1,3.1267949979522296
FCGR3A,3.09726831499718
WARS,3.0906981452567286
PRF1,3.0169866220825834
CD14,3.008642052108418
KLRD1,2.9948470312476894
CLEC7A,2.9575669107907947
PSAP,2.947310920229489
