Class,Precision,Recall,F1 Score,Support,Support %
NK,0.9813,0.9781,0.9797,913,7.92%
CD16 Mono,0.9649,0.9822,0.9735,953,8.26%
CD14 Mono,0.9777,0.9655,0.9715,1450,12.57%
Dendritic cells,0.9531,0.9797,0.9662,394,3.42%
CD8 TEM,0.9499,0.8927,0.9204,1296,11.24%
B naive,0.8746,0.8746,0.8746,1148,9.95%
CD8 Naive,0.8026,0.8457,0.8236,1361,11.80%
CD4 Naive,0.6406,0.7835,0.7049,1067,9.25%
CD4 TCM,0.8252,0.6092,0.7010,1387,12.03%
B intermediate,0.6612,0.6195,0.6397,523,4.53%
B memory,0.6152,0.6657,0.6394,329,2.85%
CD8 TCM,0.6114,0.6250,0.6181,360,3.12%
CD4 TEM,0.5188,0.6900,0.5923,200,1.73%
Treg,0.5048,0.6863,0.5817,153,1.33%
OVERALL,0.7772,0.7998,0.7848,11534,100.00%
